Ex/EFF,Type,Amount,Declaration,Record,Payment
15/09/00,Cash,$0.375319,N/A,19/09/00,31/10/00
16/06/00,Cash,$0.348408,N/A,20/06/00,31/07/00
17/03/00,Cash,$0.370823,N/A,21/03/00,28/04/00
17/12/99,Cash,$0.347552,N/A,21/12/99,31/01/00
17/09/99,Cash,$0.372218,N/A,21/09/99,29/10/99
18/06/99,Cash,$0.40497,N/A,22/06/99,30/07/99
19/03/99,Cash,$0.319853,08/03/99,23/03/99,30/04/99
18/12/98,Cash,$0.391823,N/A,22/12/98,29/01/99
18/09/98,Cash,$0.35853,N/A,22/09/98,30/10/98
19/06/98,Cash,$0.35201,N/A,23/06/98,31/07/98
20/03/98,Cash,$0.313421,N/A,24/03/98,30/04/98
19/12/97,Cash,$0.379504,N/A,23/12/97,31/01/98
19/09/97,Cash,$0.348355,N/A,23/09/97,31/10/97
20/06/97,Cash,$0.349953,N/A,24/06/97,31/07/97
21/03/97,Cash,$0.299258,N/A,25/03/97,30/04/97
20/12/96,Cash,$0.36681,N/A,24/12/96,31/01/97
20/09/96,Cash,$0.35194,N/A,24/09/96,31/10/96
21/06/96,Cash,$0.35094,N/A,25/06/96,31/07/96
15/03/96,Cash,$0.28545,N/A,19/03/96,30/04/96
15/12/95,Cash,$0.382,N/A,19/12/95,31/01/96
15/09/95,Cash,$0.31226,N/A,19/09/95,31/10/95
16/06/95,Cash,$0.31621,N/A,20/06/95,31/07/95
